Epoch,Time (s),Train Loss,Test Loss,BIC
1,28.013164043426514,1052.7735558930017,222.46819022743315,788364.5796675179
2,56.1225209236145,662.3954005700086,224.7646787585183,788369.17264458
3,84.09682989120483,631.9046457563516,208.841617035122,788337.3265211332
4,112.08482098579407,579.2406237059666,194.1227377763613,788307.8887626157
5,140.11555290222168,562.4573683846756,185.26607487365789,788290.1754368104
6,168.1159188747406,538.9232966373686,171.38184080549058,788262.4069686739
7,196.01177096366882,513.1951506947227,212.14722604738012,788343.9377391577
8,224.03166699409485,554.5407382115792,198.51059352475474,788316.6644741124
9,252.01778197288513,595.585767951486,255.35204683798696,788430.3473807389
10,280.0418269634247,544.9611798368851,196.38231530693795,788312.4079176768
11,308.0885579586029,492.83075673078594,163.9080235657545,788247.4593341945
12,336.0841820240021,454.3504444461345,159.71458373186738,788239.0724545267
13,364.11070108413696,437.06439290142805,152.57176102159116,788224.7868091061
14,392.1066539287567,438.20370936213044,156.40521362206505,788232.4537143072
15,420.0369939804077,423.28030880722093,139.85203057573975,788199.3473482145
16,448.0034670829773,406.85297327016883,137.43943551408088,788194.5221580912
17,476.0268189907074,406.26989805690704,138.7719880244815,788197.1872631119
18,503.8962800502777,408.64999783381575,139.5803798185582,788198.8040467001
19,531.8859078884125,402.99065660855206,150.75604218735137,788221.1553714377
20,559.8740789890289,407.5277781660594,158.3477754830091,788236.338838029
21,587.8762030601501,413.44690106135755,133.98137696679356,788187.6060409966
22,615.7488420009613,410.2696638277073,137.99498229991613,788195.6332516628
23,643.6862139701843,416.9398422025618,139.73997334004554,788199.1232337431
24,671.640918970108,407.2158874531022,137.9624698110733,788195.5682266852
25,699.6820929050446,413.79431577657243,145.8274497867063,788211.2981866364
26,727.7481060028076,399.09802885475835,141.16575910395053,788201.9748052709
27,755.8045508861542,404.9674611303951,137.45230980999656,788194.547906683
28,783.8412508964539,409.36371151206055,132.59030877926585,788184.8239046215
29,811.8638269901276,405.39903560986147,131.12015801797702,788181.8836030989
30,839.9728100299835,404.7329460343427,132.50942717320405,788184.6621414094
31,867.5440418720245,409.070590178428,135.4098686201708,788190.4630243033
32,895.1211099624634,415.41053889303606,133.05539618064185,788185.7540794243
33,922.5820739269257,405.0722725795653,134.36134388565483,788188.3659748343
34,950.1138660907745,402.37263385681644,142.52522383254393,788204.693734728
35,977.8830199241638,397.6325300858753,149.9292865430902,788219.5018601492
36,1005.2781670093536,411.34495701406047,134.8801324029303,788189.4035518689
37,1033.0079998970032,397.80337712949455,139.08105287908992,788197.8053928212
38,1060.374967098236,399.5962631864808,133.49194144254338,788186.6271699481
39,1087.773626089096,403.7073324096544,133.31702080615878,788186.2773286753
40,1115.2115709781647,398.30250962908104,130.61149817656425,788180.8662834162
41,1142.6918590068817,416.448809326397,144.12536239334025,788207.8940118497
42,1170.029790878296,393.08808483312106,152.01446768788202,788223.6722224387
43,1197.5292150974274,404.38526917507676,139.6137099737909,788198.8707070106
44,1225.160285949707,406.02671613650983,142.27389641699125,788204.191079897
45,1253.3120279312134,397.70212232228533,136.68475549691496,788193.0127980568
46,1281.4887480735779,409.8338235427029,134.29769038055124,788188.2386678241
47,1309.481164932251,407.8244052252493,142.15815021209724,788203.9595874872
48,1337.4233629703522,405.5116882762394,129.941199936817,788179.5256869367
49,1365.3115248680115,400.21646422835903,130.19235329994487,788180.0279936629
50,1393.242399930954,396.1215713917362,135.13287316087153,788189.9090333848
